banka_derguese,banka_pranuese,data_transaksionit,detajet_e_tjera_te_derguesit,detajet_e_tjera_te_perfituesit,id_i_llogarise_se_derguesit,id_i_llogarise_se_perfituesit,referenca_e_derguesit,shuma_e_transaksionit,tarifat_e_paleve_te_treta,valuta_e_transaksionit,transaction_type,day,month,year,dayofweek,hour,lokacioni_i_derguesit,lokacioni_i_perfituesit
Bank_9,Bank_1,2026-02-13 01:56:00,Sender details 0,Receiver details 0,SENDER_ACC_1076,RECEIVER_ACC_2034,REF_0,9990,199.8,EUR,transfer,13,2,2026,4,1,SY,AF
Bank_10,Bank_1,2026-02-06 03:54:00,Sender details 1,Receiver details 1,SENDER_ACC_1024,RECEIVER_ACC_2007,REF_1,9990,199.8,EUR,international,6,2,2026,4,3,SY,AF
Bank_8,Bank_8,2026-02-19 01:34:00,Sender details 2,Receiver details 2,SENDER_ACC_1063,RECEIVER_ACC_2087,REF_2,9800,196.0,EUR,transfer,19,2,2026,3,1,IR,SY
Bank_2,Bank_5,2026-02-04 01:16:00,Sender details 3,Receiver details 3,SENDER_ACC_1092,RECEIVER_ACC_2082,REF_3,9800,196.0,EUR,transfer,4,2,2026,2,1,SY,AF
Bank_1,Bank_10,2026-02-01 03:33:00,Sender details 4,Receiver details 4,SENDER_ACC_1097,RECEIVER_ACC_2049,REF_4,9500,190.0,EUR,transfer,1,2,2026,6,3,AF,IR
Bank_10,Bank_5,2026-02-09 03:01:00,Sender details 5,Receiver details 5,SENDER_ACC_1031,RECEIVER_ACC_2037,REF_5,9990,199.8,EUR,cash,9,2,2026,0,3,AF,IR
Bank_2,Bank_9,2026-02-18 03:37:00,Sender details 6,Receiver details 6,SENDER_ACC_1023,RECEIVER_ACC_2026,REF_6,9990,199.8,EUR,international,18,2,2026,2,3,IR,SY
Bank_5,Bank_2,2026-02-10 01:27:00,Sender details 7,Receiver details 7,SENDER_ACC_1062,RECEIVER_ACC_2029,REF_7,9800,196.0,EUR,international,10,2,2026,1,1,SY,AF
Bank_9,Bank_9,2026-02-09 01:50:00,Sender details 8,Receiver details 8,SENDER_ACC_1013,RECEIVER_ACC_2076,REF_8,9800,196.0,EUR,international,9,2,2026,0,1,IR,SY
Bank_2,Bank_4,2026-02-08 01:03:00,Sender details 9,Receiver details 9,SENDER_ACC_1037,RECEIVER_ACC_2060,REF_9,9800,196.0,EUR,cash,8,2,2026,6,1,AF,AF
Bank_3,Bank_2,2026-02-11 12:50:00,Sender details 10,Receiver details 10,SENDER_ACC_1065,RECEIVER_ACC_2028,REF_10,1351,27.02,EUR,transfer,11,2,2026,2,12,AL,FR
Bank_3,Bank_10,2026-02-05 18:19:00,Sender details 11,Receiver details 11,SENDER_ACC_1015,RECEIVER_ACC_2100,REF_11,1467,29.34,EUR,transfer,5,2,2026,3,18,IT,DE
Bank_6,Bank_6,2026-02-11 14:51:00,Sender details 12,Receiver details 12,SENDER_ACC_1044,RECEIVER_ACC_2018,REF_12,6217,124.34,EUR,cash,11,2,2026,2,14,DE,IT
Bank_3,Bank_2,2026-02-01 08:47:00,Sender details 13,Receiver details 13,SENDER_ACC_1094,RECEIVER_ACC_2045,REF_13,3537,70.74,EUR,transfer,1,2,2026,6,8,XK,AL
Bank_5,Bank_3,2026-02-01 12:24:00,Sender details 14,Receiver details 14,SENDER_ACC_1017,RECEIVER_ACC_2016,REF_14,3151,63.02,EUR,cash,1,2,2026,6,12,IT,FR
Bank_9,Bank_4,2026-02-12 08:41:00,Sender details 15,Receiver details 15,SENDER_ACC_1007,RECEIVER_ACC_2022,REF_15,6416,128.32,EUR,cash,12,2,2026,3,8,FR,IT
Bank_9,Bank_10,2026-02-14 15:26:00,Sender details 16,Receiver details 16,SENDER_ACC_1017,RECEIVER_ACC_2015,REF_16,5750,115.0,EUR,cash,14,2,2026,5,15,XK,DE
Bank_8,Bank_7,2026-02-11 18:01:00,Sender details 17,Receiver details 17,SENDER_ACC_1065,RECEIVER_ACC_2035,REF_17,2083,41.66,EUR,transfer,11,2,2026,2,18,AL,FR
Bank_10,Bank_6,2026-02-10 09:25:00,Sender details 18,Receiver details 18,SENDER_ACC_1024,RECEIVER_ACC_2001,REF_18,3094,61.88,EUR,transfer,10,2,2026,1,9,FR,XK
Bank_10,Bank_1,2026-02-10 11:54:00,Sender details 19,Receiver details 19,SENDER_ACC_1028,RECEIVER_ACC_2055,REF_19,4206,84.12,EUR,international,10,2,2026,1,11,IT,DE
Bank_4,Bank_7,2026-02-09 11:47:00,Sender details 20,Receiver details 20,SENDER_ACC_1087,RECEIVER_ACC_2083,REF_20,210,4.2,EUR,international,9,2,2026,0,11,DE,IT
Bank_1,Bank_1,2026-02-11 11:06:00,Sender details 21,Receiver details 21,SENDER_ACC_1098,RECEIVER_ACC_2054,REF_21,1097,21.94,EUR,international,11,2,2026,2,11,XK,DE
Bank_9,Bank_9,2026-02-01 15:25:00,Sender details 22,Receiver details 22,SENDER_ACC_1035,RECEIVER_ACC_2058,REF_22,3226,64.52,EUR,transfer,1,2,2026,6,15,AL,AL
Bank_5,Bank_3,2026-02-13 16:39:00,Sender details 23,Receiver details 23,SENDER_ACC_1017,RECEIVER_ACC_2100,REF_23,5222,104.44,EUR,cash,13,2,2026,4,16,DE,DE
